text,label
丁寧な対応に感謝の気持ちでいっぱいだ,1
丁寧な対応でした,1
丁寧な作り込みに感動しました。買ってよかったです,1
丁寧な作り込みに感動しました。買ってよかったです,1
丁寧な梱包で届きました,1
丁寧なサポートのおかげで、最高のスタートが切れました,1
丁寧なサポートのおかげで、最高のスタートが切れました,1
丁寧かつ迅速な対応で、非常に助かりました,1
丁寧かつ迅速な対応で、非常に助かりました,1
注文した商品が予定より早く届いて満足した,1
注文から発送まで非常にスムーズでした,1
地味に便利,1
値段の割に本当に良い商品です,1
誕生日プレゼントをもらってとても嬉しかった,1
大満足の買い物でした,1
大満足です,1
大好きなアーティストのライブに行けた,1
大雨の後の虹が本当に綺麗だった,1
大きな成果を出せて満足,1
耐久性があり安心です,1
対応が親切で安心して購入できました,1
体の調子が良くなってきてとても嬉しい,1
操作が直感的でわかりやすい,1
操作が直感的,1
想定以上に高品質でした,1
想像以上のクオリティでした,1
想像以上に素晴らしかったです,1
想像以上に軽くて使いやすいです,1
組み立ても簡単ですぐ使えました,1
素敵なサンセットを見ることができた,1
素晴らしい結果に感動,1
素材の質感が予想以上に良いです,1
説明書も分かりやすくて助かりました,1
設定が簡単,1
生活が変わった,1
性能が高くて大満足です,1
迅速な対応で非常に助かりました,1
迅速な対応でした,1
進化し続けている,1
神対応でした,1
神アプリ,1
新商品の味はとても美味しくて感動した,1
新しい本を読んでとても勉強になった,1
新しい同僚との会話がとても楽しかった,1
新しい職場の人たちはみんな親切だ,1
新しい習慣を始めて一ヶ月続けられた,1
新しい趣味を見つけてとても充実している,1
新しい靴を買ってテンションが上がった,1
新しい家具が届いて部屋が明るくなった,1
新しいレシピを試したら大成功だった,1
新しいプロジェクトが始まってワクワクしている,1
新しいスマホの機能にとても満足している,1
新しいスキルを身につけて自信がついた,1
新しいシューズで走ったらとても快適だった,1
新しいカフェを見つけてとても嬉しい,1
新しいアプリの使い心地がとても良い,1
心からおすすめします,1
信頼できる商品です,1
色合いがとても綺麗です,1
色も写真通りで綺麗でした,1
上司から褒められてやる気が出た,1
初心者でも簡単に使えました,1
初めて料理した一品が上手にできた,1
初めて使ってすぐに気に入りました,1
初めての一人旅は最高に楽しかった,1
週末は家族とゆっくり過ごせて良かった,1
周りの友人にも自信を持って勧められます,1
趣味の集まりで気の合う友人ができた,1
手放せません,1
手軽に使えてとても重宝しています,1
手に取った瞬間から満足でした,1
次も絶対にリピートしたいと思います,1
試験に合格して本当に安心した,1
思っていたより軽量で助かりました,1
思ったよりずっと良い商品でした,1
子供も喜んで使ってくれています,1
子供の成長を見るのが何より幸せだ,1
子供と公園で遊んで楽しかった,1
子供が初めて歩いた瞬間は感動的だった,1
子供から描いてもらった絵がとても嬉しかった,1
子どもも大喜びでした,1
使ってみて感動しました,1
使うたびに満足感を感じています,1
使い心地が他の商品と全然違います,1
使い勝手が抜群です,1
使い勝手が抜群です,1
使い始めてから手放せなくなりました,1
使いやすくて助かっています,1
使いやすい,1
仕事仲間と協力して大きな成果を出せた,1
仕事帰りに寄ったラーメン屋さんがとても美味しかった,1
仕事が早く終わったので嬉しい,1
桜が満開でとても綺麗だった,1
昨夜はぐっすり眠れてとても快適だった,1
昨日見た映画が最高に感動的だった,1
細部までこだわりを感じます,1
細部までこだわりが感じられます,1
細かい部分まで丁寧に作られています,1
最高の商品でした,1
最高の商品でした,1
最高の使い心地です,1
最高に使い心地が良く、毎日重宝しています,1
最高に使い心地が良く、毎日重宝しています,1
最高に使いやすいです,1
梱包も丁寧で好印象でした,1
梱包が丁寧で傷もなく届きました,1
梱包が丁寧でした,1
今日は朝からとても気分がいい,1
今日は最高の気分で一日を過ごせた,1
今日は好きな音楽を聴きながら作業できた,1
今日は気持ちよく一日を終えられた,1
今日は何をしても上手くいく日だった,1
今日は一日中良いことが続いた,1
今日の夕焼けはとても美しかった,1
今日の天気は最高に気持ちがいい,1
今日のランチはとても満足できた,1
今日のヨガクラスはとても気持ちよかった,1
今日のミーティングはとても有意義だった,1
今日のミーティングで良いアイデアが出た,1
今月の目標を達成できてとても満足している,1
今までで一番良い体験でした,1
購入して以来ずっと愛用しています,1
好きな映画を見ながらリラックスできた,1
見た目以上に機能的で驚きました,1
見た目以上に機能的です,1
見た目も機能も大満足です,1
近所に新しいスーパーができてとても便利になった,1
驚くほど静かで快適です,1
休暇を取ってゆっくり休めて良かった,1
久しぶりの旅行でリフレッシュできた,1
久しぶりの運動でリフレッシュできた,1
久しぶりに友達と会えて楽しかった,1
久しぶりにゆっくり読書する時間が取れた,1
久々の同窓会でとても楽しい時間を過ごせた,1
気に入って何度もリピートしています,1
機能性と見た目を両立しています,1
機能は多いが使い勝手が悪い,1
機能が充実していて便利です,1
期待以上の出来でした,1
期待以上の出来でした,1
期待を遥かに超えるクオリティに、大満足しています,1
期待を遥かに超えるクオリティに、大満足しています,1
期待を大きく上回りました,1
期待していた通りの商品でした,1
簡単でわかりやすい,1
感謝の言葉をもらってとても嬉しかった,1
感謝しかありません,1
開封した瞬間から品質の良さを感じました,1
快適に使えています,1
家族全員でご飯を食べる時間がとても幸せだ,1
家族全員が気に入っています,1
家族にもおすすめしたいです,1
価格以上の価値があります,1
価格に見合っています,1
何の問題もなく使えています,1
温かいスープを飲んでほっと一息ついた,1
一度使ったらやめられない良さがあります,1
レビュー通りの良い商品でした,1
リモートワークで通勤ストレスがなくなって快適だ,1
リピート購入決定です,1
リピート確定です,1
ボランティア活動に参加してとても充実した,1
ペットと遊ぶ時間が一番の癒しだ,1
プロジェクトが無事に完了して達成感がある,1
プレゼントにも最適な商品です,1
プレゼンが成功してホッとした,1
デザインが秀逸,1
デザインが可愛いです,1
デザインが可愛いです,1
デザインがシンプルでおしゃれです,1
デザインがとても綺麗です,1
デザイン、機能ともに非常に洗練されており、満足です,1
デザイン、機能ともに非常に洗練されており、満足です,1
チームの連携がうまくいってとても良い仕事ができた,1
チームの雰囲気がとても明るくて働きやすい,1
チームで協力して成功した,1
スタッフの対応がとても良かったです,1
スタッフの説明がとても丁寧でした,1
サポートが丁寧,1
サポートが迅速で助かりました,1
サクサク動く,1
サクサク動いてストレスがありません,1
サイズもぴったりでした,1
サービスがとても丁寧でした,1
コンパクトで持ち運びに便利です,1
コスパ最高,1
コスパ最強の商品だと思います,1
コスパが非常に良いです,1
コスパが最高です,1
コストパフォーマンスが非常に高いです,1
クオリティが高い,1
キャンプファイヤーを囲んで楽しい夜を過ごした,1
もっと早く知りたかった,1
また利用したいと思います,1
また買いたいと思います,1
また買いたいと思います,1
ふるさとの味を久しぶりに食べて懐かしかった,1
とにかく使いやすくて快適です,1
とても面白いです,1
とても満足しています,1
とても満足しています,1
とても素晴らしい体験でした,1
とても親切にしていただきました,1
とても信頼できるサービスです,1
とても助かりました,1
とても使い心地が良いです,1
とても使いやすく生活が便利になりました,1
とても使いやすいです,1
ずっと欲しかったものを手に入れて嬉しい,1
ずっと使い続けたいです,1
すごく良かったです,1
すぐに届いて嬉しかったです,1
こんなに美しい海岸を見たのは初めてだった,1
これほど素晴らしい体験は初めてで、非常に感動しています,1
これほど素晴らしい体験は初めてで、非常に感動しています,1
これは本当にお勧めできる一品です,1
これからも期待しています,1
この価格でこのクオリティは驚きです,1
このレストランのサービスはとても丁寧だった,1
このレシピは簡単で美味しくできた,1
このマッサージはとても癒される,1
このホテルのスタッフはとても親切だった,1
このパン屋さんの新作はとても美味しい,1
このドラマの展開がとても面白い,1
このドキュメンタリーはとても感動した,1
このスムージーはとても美味しくてヘルシーだ,1
このシリーズの最新作は期待以上だった,1
このサービスは期待以上に良かった,1
このゲームは本当に没頭できる,1
このゲームは想像以上に面白い,1
このカフェの雰囲気はとても落ち着く,1
このカフェのコーヒーは本当に美味しい,1
このオンラインセミナーはとても勉強になった,1
このイベントはとても盛り上がって楽しかった,1
このアプリのデザインはとても使いやすい,1
このアーティストの新曲はとても素敵だ,1
このお値段でこの品質は大変満足です,1
お気に入りの商品になりました,1
おすすめできる商品です,1
おすすめされた本がとても面白かった,1
おいしい朝食で元気よく一日を始められた,1
いつも行く花屋さんの店員さんがとても親切だった,1
operatorが親切でした,1
buyer目線で見ても優秀です,1
連絡なしに待ち合わせ場所に来なかった,0
料理が冷めていて美味しくなかったです,0
頼んでいた荷物がいつまでも届かない,0
頼んでいたレポートが全く違う内容だった,0
頼んだ料理がぬるくて美味しくなかった,0
頼んだ商品の品質がとても悪かった,0
予約したのに席がないと言われてしまった,0
友達に誤解されてとても悲しい気持ちになった,0
友達と久しぶりに会えたのに空気がぎこちなかった,0
友達との約束をすっぽかされて悲しい,0
友人に裏切られたようでとても辛い,0
友人に借りたお金を返してもらえないでいる,0
友人との関係がうまくいかずストレスを感じる,0
約束していた予定が急にキャンセルになった,0
問い合わせへの返答が遅すぎます,0
無駄な買い物をしてしまいました,0
毎日残業続きで休む暇が全くない,0
包装からして雑で信頼できません,0
保証期間が短すぎます,0
返品対応が雑でした,0
返品したくてもサポートが繋がりません,0
返品したいほど酷かったです,0
返信が来ない,0
返金してほしいです,0
分かりにくい,0
不良品が届きました,0
不良品が届いたのに対応が最悪でした,0
不満が残りました,0
不満が残っています,0
不便すぎます,0
品質管理ができていないと感じます,0
品質が悪くてがっかりしました,0
非常に不愉快な思いをし、後悔しかありません,0
非常に不愉快な思いをし、後悔しかありません,0
非常に不快な思いをしました,0
非常に使いにくいです,0
非常に残念な思いをしました,0
非常に残念な結果でした,0
非常に残念ながら、私の環境では動作しませんでした,0
非常に残念ながら、私の環境では動作しませんでした,0
非常に残念,0
非常に後悔の残る結果となりました,0
非常に後悔の残る結果となりました,0
非常に後悔しています,0
非常にストレスが溜まります,0
彼女との関係がうまくいかずとても悩んでいる,0
彼の冷たい態度にとても傷ついた,0
彼の言葉にとても傷つけられた,0
反応が鈍い,0
発送が遅すぎてイライラしました,0
買ったことを後悔しています,0
匂いが気になります,0
匂いがきつくて困りました,0
二度と利用はしません,0
二度と利用しません,0
二度と利用しません,0
二度と買いません,0
二度と買いません,0
二度と買いません,0
二度と使わない,0
二度と使いません,0
二度と購入しません,0
二度とこのような後悔はしたくない,0
二度とこのお店では買いたくないです,0
難しくて挫折しました,0
届いた商品が写真と全く異なりました,0
届いたときにすでに傷がありました,0
読み込みが遅い,0
同期ができない,0
動作不良で最初から使えませんでした,0
動作が不安定です,0
動作が重くてイライラします,0
動作が重い,0
渡されたレポートに間違いが多くてやり直しになった,0
電池の減りが早いです,0
電車が遅延して大事な約束に遅れてしまった,0
電化製品が届いてすぐ故障してしまった,0
店員の態度がひどかったです,0
店員の対応がとても不親切でした,0
締め切りに間に合わず焦っている,0
通勤電車が満員でとても疲れる,0
長時間待たされた上に対応が雑だった,0
長時間勤務が続いて体力が限界に近い,0
長い通勤時間がとてもストレスだ,0
朝起きたら財布が見当たらなくてパニックになった,0
丁寧な対応には感謝しますが、製品自体には満足していません,0
丁寧な対応には感謝しますが、製品自体には満足していません,0
丁寧な対応でしたが、商品は残念な出来でした,0
丁寧な説明文とは裏腹に、実際は非常に使いにくいです,0
丁寧な説明文とは裏腹に、実際は非常に使いにくいです,0
丁寧な梱包でしたが、中身は不良品でがっかりです,0
丁寧な梱包でしたが、中身は不良品でがっかりです,0
注文をキャンセルされてとても不満だ,0
注文してから一ヶ月以上経っても商品が届かない,0
注文した料理と全然違うものが来た,0
注文した内容と違うものが届きました,0
注文した商品と違うものが届いてがっかりした,0
注文から到着まで一ヶ月かかりました,0
値段の割に安っぽいです,0
値段に対してクオリティが低すぎます,0
大切にしていたカメラを落として壊してしまった,0
大切にしていたものを壊されてしまいショックだ,0
大事な書類を失くしてしまい焦っている,0
大事な書類を誤って処分してしまった,0
大事な会議でパソコンがフリーズしてしまった,0
大事なデータが全部消えてしまった,0
耐久性が全くありません,0
耐久性がなくすぐにダメになりました,0
対応が遅いです,0
対応が悪すぎます,0
対応が悪すぎます,0
対応がとても遅いです,0
体調が悪くて一日中辛かった,0
他社製品の方が良かったです,0
損をした気分,0
騒音がひどくて周囲に迷惑をかけました,0
操作方法が複雑すぎて使えません,0
操作性は良いものの、肝心の機能が動かず不満です,0
操作性は良いものの、肝心の機能が動かず不満です,0
操作性が最悪です,0
組み立てが面倒すぎます,0
粗悪品としか言いようがありません,0
全体的なクオリティに失望しました,0
全然良くないです,0
全然役に立ちませんでした,0
全然動かなくて困っています,0
全然おすすめではないです,0
全く役に立ちません,0
全く満足できません,0
全く満足できない買い物でした,0
全く満足していません,0
全く納得がいきません,0
全く使い物になりません,0
全く期待外れでした,0
全くもって期待外れの極みです,0
全くもって期待外れの極みです,0
全くの期待外れで返品を考えています,0
全くおすすめできません,0
全くおすすめできません,0
全くおすすめできません,0
前の方が良かった,0
先週から風邪が治らずとても辛い,0
説明書が全く役に立ちませんでした,0
説明書が意味不明でした,0
説明書がわかりにくい,0
説明の通りに動作しませんでした,0
説明と全然違いました,0
説明と全然違いました,0
説明と全く違っています,0
接客態度がひどく不快な思いをしました,0
正直言って最悪でした,0
正直、買わなければよかったと後悔しています,0
正直、買わなければよかったと後悔しています,0
正直、後悔しかないです,0
性能が全く広告と違います,0
新しく買った商品がすぐに壊れてしまった,0
新しい職場の人間関係がうまくいかない,0
新しい靴がすぐに壊れてしまい残念だった,0
新しいプロジェクトが思うように進まず焦っている,0
新しいパソコンが初日から動かなくなった,0
寝不足で頭がずっと痛い,0
色が全然違ってがっかりしました,0
色が写真と違いました,0
職場の雰囲気がとても悪くて毎日憂鬱だ,0
職場での孤独感が日に日に増している,0
上司に理不尽に怒られてとても落ち込んでいる,0
少し使っただけで壊れてしまいました,0
商品説明が嘘ばかりで詐欺的です,0
重くて持ち運ぶのが大変です,0
渋滞のせいで大事な会議に遅刻してしまった,0
渋滞に巻き込まれて予定が大幅に遅れた,0
充電できなくなって困っています,0
臭いが強くて使えない状態です,0
取扱説明書が不親切です,0
写真と実物がかけ離れていました,0
時間の無駄でした,0
時間の無駄でした,0
時間の無駄でした,0
時間の無駄だった,0
試験に落ちてしまいとても悔しい,0
思っていたよりずっと質が悪かったです,0
思ったより重くて使いにくい,0
使い物にならないです,0
使い勝手が非常に悪いです,0
使い勝手が悪すぎます,0
使い勝手が悪くすぐに使わなくなりました,0
使い始めてすぐに異常に気づきました,0
使いにくくてストレスが溜まります,0
使いにくいです,0
使いにくい,0
仕事中にミスをしてしまい落ち込んでいる,0
仕事の量が多すぎてとても疲れている,0
仕事のミスで上司に叱られてしまった,0
仕事のプレッシャーで毎日疲れ果てている,0
残念な結果でした,0
残念な気持ちでいっぱいです,0
残念ながら、満足できる内容ではありませんでした,0
残念ですが、二度とこちらの製品は選びません,0
残念ですが、二度とこちらの製品は選びません,0
昨日のプレゼンは散々な結果に終わった,0
財布を失くしてしまいとても困っている,0
最悪な気分です,0
最悪な気分です,0
梱包が雑で中身が傷ついていました,0
今日は朝から体調が優れない,0
今日は朝からずっとついていない,0
今日は最悪な一日だった,0
今日は急いでいたのに電車が大幅に遅れた,0
今日は寒くて体調を崩してしまった,0
今日は何をやってもうまくいかなかった,0
今日の面接は完全に失敗した気がして落ち込んでいる,0
今日の天気はずっと雨で気分が沈む,0
購入したことをとても後悔しています,0
広告が邪魔,0
好きだったお店が突然閉店してしまいショックだ,0
誤発注してしまいキャンセルも受け付けてもらえなかった,0
後輩のミスの責任を全部押し付けられた,0
後悔の残る買い物になりました,0
後悔しています,0
見た目は最高ですが、使い勝手は最悪と言わざるを得ません,0
見た目は最高ですが、使い勝手は最悪と言わざるを得ません,0
見た目はいいけど中身がスカスカ,0
欠陥品レベルです,0
強制終了する,0
急に仕事を押し付けられてとても困っている,0
機能の半分も使えない状態です,0
期待外れで悲しいです,0
期待外れで損をしました,0
期待外れで残念,0
期待外れでした,0
期待はずれ,0
期待には及びませんでした,0
期待して購入しましたが、結果は非常に残念でした,0
期待して購入しましたが、結果は非常に残念でした,0
期待していた映画の結末がとてもがっかりだった,0
期待していただけに余計がっかりです,0
期待していただけにがっかりです,0
期待しただけに、非常に残念です,0
期待が大きかった分、非常に残念な気持ちです,0
期待が大きかった分、非常に残念な気持ちです,0
頑張って作った料理を誰にも食べてもらえなかった,0
開封直後から問題が発生しました,0
改善を強く希望します,0
改善が見られない,0
壊れやすいです,0
壊れて届きました,0
壊れて届きました,0
会議が長引いてとても疲れた,0
価格の割に質が悪い,0
何度メールを送っても返信が来ない,0
音がうるさくて使えません,0
音がうるさくて困っています,0
雨続きで気分が憂鬱になる,0
雨の中ずっと外で待たされてとても辛かった,0
雨で洗濯物が全く乾かなくて困っている,0
安っぽい作りです,0
リピートは絶対にしないと決めました,0
ペットが体調を崩してとても心配している,0
スマホを水没させてしまいとても困っている,0
ストレスがたまる,0
サポートの態度がとても失礼でした,0
サポートの対応が遅い,0
サポートが不親切,0
サポートが最悪でした,0
サイズ感が掴みにくいです,0
サイズ感が完全に合いませんでした,0
サイズが全然違いました,0
サイズが合いませんでした,0
ゴミになってしまった商品です,0
コスパが最悪の商品でした,0
コスパが悪すぎます,0
ガッカリした,0
カスタマーサポートが最悪でした,0
エラーばかり出る,0
イライラしました,0
もっと改善の余地があると感じ、後悔が残ります,0
もっと改善の余地があると感じ、後悔が残ります,0
ひどい内容でした,0
とにかく使いにくいです,0
つまらないです,0
せっかく準備した発表がキャンセルになった,0
ずっと楽しみにしていたイベントが中止になった,0
ずっと温めてきた企画がボツになってしまった,0
すぐに飽きてしまいました,0
すぐに色落ちして見栄えが悪いです,0
すぐに壊れました,0
すぐに壊れて使い物になりません,0
すぐに壊れてしまいました,0
こんなひどい商品は見たことがありません,0
これほど使えない商品は初めてです,0
これほど使いにくいとは思いもしませんでした,0
これほど使いにくいとは思いもしませんでした,0
これは酷いです,0
これはひどいです,0
この商品には全くおすすめできません,0
この映画はとてもつまらなかった,0
このレストランは予約していたのに席がなかった,0
このレストランの料理は全く美味しくなかった,0
このレストランの店員はとても態度が悪かった,0
このルームシェアの生活はストレスがたまる,0
このマンションの騒音がひどくて眠れない,0
このホテルの防音がひどく全く眠れなかった,0
このホテルの部屋はとても汚かった,0
このホテルのサービスには全く満足できなかった,0
このヘルメットは品質が悪くてすぐに割れた,0
このスマホアプリは起動するたびにクラッシュする,0
このジムは設備が古くて使いにくい,0
このシャンプーを使ったら頭皮がかゆくなった,0
このサプリメントは全く効果が感じられない,0
このサブスクリプションは解約しにくくて困る,0
このサービスは料金が高い割に質が低い,0
このサービスの対応は本当にひどかった,0
このサービスの月額が高すぎてコスパが悪い,0
このゲームはバグが多くてストレスがたまる,0
このクリーニング店にお気に入りの服を傷つけられた,0
このカフェの接客はとても感じが悪かった,0
このカスタマーサポートはとても対応が悪かった,0
このイヤホンはすぐに音が出なくなった,0
このイヤフォンは音質が悪くてすぐに壊れた,0
このイベントは期待外れでがっかりした,0
このアプリは頻繁にバグが発生して使いにくい,0
このアプリは動作が遅くてイライラする,0
このアプリのサポート対応はとても遅かった,0
がっかりしました,0
がっかりしました,0
がっかりさせられました,0
お金を無駄にしたと後悔しています,0
お金を返してほしいくらい残念です,0
お金を返してほしい,0
お金を捨てたようなものです,0
お金を捨てたようなものです,0
お金の無駄でした,0
お気に入りの店が閉店してしまい残念だ,0
お気に入りのカフェが急に値上がりしてがっかりした,0
おすすめできる点が見当たりません,0使いにくいです,0
おすすめしません,0
UIが最悪,0
